DB,SITEID,DUPL,TARGSITEID,LAT,LON,ELEV,DATE,TIME,STATE,MAPSHEET,LANDFORM TYPE,GEOMORPH1,GEOMORPH2,LANDUSE1,LANDUSE1a,LANDUSE2,LANDUSE2a,CONTAMtxt,TOSID,TOSTYPE,TOSTOPD,TOSBD,TOSRAD,TOSpH,BOSID,BOSTYPE,BOSTOPD,BOSBD,BOSRAD,BOSpH
field,2007190287,,TS0468,-29.551,115.813,251,18.11.2007,09:30,WA,Perenjori,playa plain,sheet flow sheet or surface wash,,2 1 0 Grazing natural vegetation,,3 3 0 Dryland Cropping,,,2007190287001,PIT TRENCH SAMPLE,0,0.1,1,8.5,2007190287002,AUGER SAMPLE,0.6,0.9,1,10
field,2007190288,,TS0685,-14.94,132.418,142,12.07.2008,15:15,NT,Katherine,alluvial terrace,over bank stream flow,,2 1 0 Grazing natural vegetation,,,,None,2007190288001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190288002,AUGER SAMPLE,0.6,0.8,1,6
field,2007190289,2007190071,TS0586,-32.051,118.166,244,04.12.2007,12:50,WA,Corrigin,flood plain,over bank stream flow,,3 2 0 Dryland Grazing modified pastures,5 2 3 Sheep,3 3 0 Dryland Cropping,5 2 3 Sheep,61 m down slope from wire fence ,2007190289001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190289002,AUGER SAMPLE,0.6,0.85,1,7.5
field,2007190290,,TS0725,-17.658,133.542,185,23.05.2008,12:00,NT,Beeteloo,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,,,,None,2007190290001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190290002,AUGER SAMPLE,0.6,0.8,1,6.5
field,2007190291,,TS0664,-14.053,135.867,7,17.08.2009,11:15,NT,Roper River,alluvial plain,over bank stream flow,,2 1 0 Grazing natural vegetation,,,,,2007190291001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190291002,AUGER SAMPLE,0.6,0.7,1,6
field,2007190292,,TS0407,-25.223,118.988,504,27.02.2008,15:40,WA,Peak Hill,alluvial plain,channelled stream flow,over bank stream flow,2 1 0 Grazing natural vegetation,,2 1 0 Grazing natural vegetation,,,2007190292001,PIT TRENCH SAMPLE,0.01,0.1,1,8.5,2007190292002,SURFACE REGOLITH SAMPLE,,0.45,1,8.5
field,2007190293,,TS1057,-24.312,145.203,301,31.05.2008,10:10,QLD,Blackall,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190293001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190293002,AUGER SAMPLE,0.6,0.89,1,6.5
field,2007190294,,TS0108,-26.931,133.83,281,08.09.2009,,SA,Abminga,anastomatic plain,over bank stream flow,sheet flow  sheet or surface wash,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,None,2007190294001,PIT TRENCH SAMPLE,0.05,0.1,1,5,2007190294002,PIT TRENCH SAMPLE,0.38,0.46,1,4.5
field,2007190296,2007190758,TS0773,-19.922,132.597,430,29.07.2008,10:42,NT,Green Swamp Well,aeolian landforms,dust deposition wind,detrital deposition still water,2 1 0 Grazing natural vegetation,,,,,2007190296001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190296002,AUGER SAMPLE,0.6,0.8,1,6.5
field,2007190298,,TS1077,-25.056,140.179,93,25.05.2008,12:15,QLD,Betoota,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190298001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190298002,AUGER SAMPLE,0.68,0.89,1,7
field,2007190299,,TS1143,-28.568,144.259,120,28.10.2008,16:20,QLD,Eulo,alluvial plain,channelled stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,Nil,2007190299001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190299002,AUGER SAMPLE,0.63,0.76,1,9
field,2007190301,,TS0675,-14.681,134.575,16,16.08.2009,16:00,NT,Urapunga,alluvial terrace,over bank stream flow,,2 1 0 Grazing natural vegetation,,,,,2007190301001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190301002,AUGER SAMPLE,0.6,0.9,1,6
field,2007190302,,TS0618,-33.888,119.864,28,19.02.2008,16:40,WA,Newdegate,flood plain,over bank stream flow,,1 0 0 Conservation and Natural Environments,,1 0 0 Conservation and Natural Environments,,,2007190302001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190302002,AUGER SAMPLE,0.6,0.9,1,6.5
field,2007190303,,TS1039,-23.653,151.054,11,24.10.2007,09:05,QLD,Rockhampton,alluvial terrace,water,over bank stream flow,2 1 0 Grazing natural vegetation,,2 1 0 Grazing natural vegetation,,,2007190303001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190303002,AUGER SAMPLE,0.6,0.7,1,7
field,2007190304,,TS0507,-27.355,115.901,260,16.11.2007,12:45,WA,Murgoo,alluvial plain,over bank stream flow,,2 1 0 Grazing natural vegetation,,2 1 0 Grazing natural vegetation,,,2007190304001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190304002,AUGER SAMPLE,0.6,0.9,1,9
field,2007190305,,TS0295,-21.291,116.148,47,03.04.2008,08:50,WA,Yarraloola,bar plain,channelled stream flow,sheet flow  sheet or surface wash,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,100m upstream from hwy  track & site disturb; sample in possible active chanel oxbow?,2007190305001,PIT TRENCH SAMPLE,0.02,0.1,1,8,2007190305002,AUGER SAMPLE,0.6,0.92,1,8.5
field,2007190307,,TS0891,-16.434,143.804,142,05.10.2007,12:30,QLD,Walsh,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,Cattle Tracks,2007190307001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190307002,AUGER SAMPLE,0.56,0.8,1,5.5
field,2007190308,,TS0752,-19.478,135.288,220,07.10.2007,14:00,NT,Alroy,floodout,detrital deposition still water,,1 0 0 Conservation and Natural Environments,,1 0 0 Conservation and Natural Environments,,,2007190308001,PIT TRENCH SAMPLE,0,0.1,1,5.5,2007190308002,AUGER SAMPLE,0.58,0.75,1,5.5
field,2007190309,,TS0350,-23.376,117.039,247,07.05.2008,12:05,WA,Turee Creek,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190309001,PIT TRENCH SAMPLE,0,0.1,1,7.5,2007190309002,AUGER SAMPLE,0.6,0.9,1,7.5
field,2007190310,,TS0269,-20.204,121.314,125,10.06.2008,16:45,WA,Yarrie,stagnant alluvial plain,sheet flow sheet or surface wash,,1 0 0 Conservation and Natural Environments,,1 0 0 Conservation and Natural Environments,,,2007190310001,PIT TRENCH SAMPLE,0,0.1,1,5.5,2007190310002,AUGER SAMPLE,0.6,0.9,1,6.5
field,2007190311,2007191259,TS0542,-30.539,115.226,41,13.11.2007,12:00,WA,Hill River,alluvial plain,over bank stream flow,wind erosion deflation,1 0 0 Conservation and Natural Environments,,1 0 0 Conservation and Natural Environments,,,2007190311001,PIT TRENCH SAMPLE,0,0.1,1,7,2007190311002,AUGER SAMPLE,0.6,0.9,1,8
field,2007190312,,TS1088,-25.601,142.79,124,27.05.2008,16:30,QLD,Windorah,alluvial plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,Nil,2007190312001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190312002,AUGER SAMPLE,0.61,0.76,1,6
field,2007190313,,TS0661,-13.825,130.726,18,13.07.2008,10:40,NT,Pine Creek,alluvial terrace,over bank stream flow,,1 0 0 Conservation and Natural Environments,,,,None,2007190313001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190313002,AUGER SAMPLE,0.6,0.8,1,6
field,2007190315,,TS0275,-20.326,119.306,28,09.06.2008,10:10,WA,Port Headland,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190315001,PIT TRENCH SAMPLE,0,0.1,1,7,2007190315002,AUGER SAMPLE,0.6,0.9,1,8
field,2007190316,,TS0444,-28.837,114.826,48,14.11.2007,17:00,WA,Geraldton,flood plain,over bank stream flow,,3 3 0 Dryland Cropping,,3 3 0 Dryland Cropping,,,2007190316001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190316002,AUGER SAMPLE,0.6,0.84,1,9
field,2007190317,,TS0221,-17.373,124.028,23,14.06.2008,14:20,WA,Derby,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190317001,PIT TRENCH SAMPLE,0,0.1,1,7,2007190317002,AUGER SAMPLE,0.6,0.9,1,7
field,2007190318,,TS0882,-15.156,144.343,88,06.08.2008,11:30,QLD,Cooktown,alluvial terrace,over bank stream flow,,1 0 0 Conservation and Natural Environments,,,,Nil,2007190318001,PIT TRENCH SAMPLE,0,0.1,1,7.5,2007190318002,AUGER SAMPLE,0.6,0.7,1,7.5
field,2007190319,,TS1384,-42.447,145.538,2,05.02.2008,10:00,TAS,South West,alluvial swamp,water,,1 0 0 Conservation and Natural Environments,,1 0 0 Conservation and Natural Environments,,Water turbidity reference station,2007190319001,PIT TRENCH SAMPLE,0,0.04,1,4,2007190319002,PIT TRENCH SAMPLE,0.6,0.7,1,4.5
field,2007190321,,TS0727,-18.005,137.451,184,20.05.2008,09:40,NT,Mount Drummond,alluvial terrace,over bank stream flow,,1 0 0 Conservation and Natural Environments,,,,None,2007190321001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190321002,AUGER SAMPLE,0.6,0.8,1,5.5
field,2007190322,,TS0908,-17.407,143.8,215,10.10.2007,09:30,QLD,Red River,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,Cattle tracks ,2007190322001,PIT TRENCH SAMPLE,0,0.1,1,7.5,2007190322002,AUGER SAMPLE,0.57,0.79,1,7.5
field,2007190323,,TS0651,-12.8,132.734,5,19.09.2007,08:30,NT,Alligator River,alluvial plain,over bank stream flow,,1 0 0 Conservation and Natural Environments,,1 0 0 Conservation and Natural Environments,,50m upstream frm road,2007190323001,PIT TRENCH SAMPLE,0,0.1,1,4.5,2007190323002,AUGER SAMPLE,0.6,0.75,1,4.5
field,2007190324,,TS0585,-31.737,124.448,142,24.01.2008,11:25,WA,Zanthus,peneplain,sheet flow sheet or surface wash,,2 1 0 Grazing natural vegetation,5 2 3 Sheep,2 1 0 Grazing natural vegetation,5 2 3 Sheep,,2007190324001,PIT TRENCH SAMPLE,0,0.1,1,8.5,2007190324002,AUGER SAMPLE,0.25,0.55,1,8.5
field,2007190325,,TS1322,-38.354,142.496,18,04.03.2008,11:40,VIC,Colac,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,,2 1 0 Grazing natural vegetation,5 2 1 Dairy,cow manure  grazed paddock,2007190325001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190325002,AUGER SAMPLE,0.58,0.8,1,5.5
field,2007190326,,TS0167,-29.449,137.746,12,24.05.2009,,SA,Curdimurka,stagnant alluvial plain,over bank stream flow,wind,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,None,2007190326001,PIT TRENCH SAMPLE,0.05,0.15,1,9.5,2007190326002,AUGER SAMPLE,0.6,0.9,1,9.5
field,2007190327,,TS0473,-26.127,118.294,448,25.02.2008,16:40,WA,Belele,alluvial plain,channelled stream flow,over bank stream flow,2 1 0 Grazing natural vegetation,,2 1 0 Grazing natural vegetation,,Rubbish through river area but no visible dump,2007190327001,PIT TRENCH SAMPLE,0.01,0.11,1,8,2007190327002,SURFACE REGOLITH SAMPLE,,0.75,1,5
field,2007190328,2007191598,TS0244,-18.716,121.93,26,12.06.2008,10:50,WA,Lagrange,flood plain,sheet flow sheet or surface wash,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190328001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190328002,AUGER SAMPLE,0.6,0.9,1,6
field,2007190329,,TS0104,-27.097,135.508,106,10.08.2008,11:30,SA,Oodnadatta,flood plain,over bank stream flow,sheet flow  sheet or surface wash,2 1 0 Grazing natural vegetation,5 2 3 Sheep,2 1 0 Grazing natural vegetation,5 2 3 Sheep,,2007190329001,PIT TRENCH SAMPLE,0.05,0.1,1,7,2007190329002,PIT TRENCH SAMPLE,0.7,0.8,1,7
field,2007190331,,TS0154,-31.224,139.653,17,30.09.2008,,SA,Parachilna,alluvial plain,over bank stream flow,wind,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190331001,PIT TRENCH SAMPLE,0.05,0.1,1,9.5,2007190331002,AUGER SAMPLE,0.6,0.9,1,9.5
field,2007190332,,TS0278,-20.667,117.954,4,08.06.2008,14:10,WA,Roebourne,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190332001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190332002,AUGER SAMPLE,0.6,0.8,1,7
field,2007190333,,TS0658,-13.153,130.541,-7,21.09.2007,13:40,NT,Pine Creek,alluvial plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,50m from farm track,2007190333001,PIT TRENCH SAMPLE,0,0.1,1,5,2007190333002,AUGER SAMPLE,0.58,0.7,1,5
field,2007190334,,TS1208,-30.313,145.619,121,29.04.2008,14:15,NSW,Bourke,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 3 Sheep,2 1 0 Grazing natural vegetation,5 2 3 Sheep,southeast of dirt road upstream  Fairly clean as far as can be seen,2007190334001,PIT TRENCH SAMPLE,0,0.1,1,7.5,2007190334002,AUGER SAMPLE,0.55,0.92,1,8.5
field,2007190335,2007190692,TS1251,-32.692,145.157,133,04.04.2008,10:02,NSW,Ivanhoe,flood plain,sheet flow sheet or surface wash,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,relatively clean site  fairly undisturbed some loose fencing wire nearby ,2007190335001,PIT TRENCH SAMPLE,0,0.1,1,8,2007190335002,AUGER SAMPLE,0.53,0.76,1,9
field,2007190336,,TS0346,-23.173,120.02,466,04.06.2008,13:40,WA,Robertson,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190336001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190336002,AUGER SAMPLE,0.6,0.75,1,6.5
field,2007190337,,TS0746,-18.662,134.848,208,22.05.2008,08:50,NT,Helen Springs,stagnant alluvial plain,detrital deposition still water,,2 1 0 Grazing natural vegetation,,,,None,2007190337001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190337002,AUGER SAMPLE,0.6,0.9,1,6
field,2007190338,,TS0184,-27.048,140.68,41,24.10.2008,,SA,Innamincka,stagnant alluvial plain,sheet flow sheet or surface wash,wind,1 0 0 Conservation and Natural Environments,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190338001,PIT TRENCH SAMPLE,0.05,0.15,1,6.5,2007190338002,PIT TRENCH SAMPLE,0.6,0.75,1,6
field,2007190339,,TS0329,-22.444,119.664,407,05.06.2008,11:00,WA,Roy Hill,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190339001,PIT TRENCH SAMPLE,0,0.1,1,7.5,2007190339002,AUGER SAMPLE,0.6,0.9,1,8.5
field,2007190342,2007190989,TS0404,-25.147,116.934,370,29.02.2008,11:52,WA,Glenburgh,alluvial plain,channelled stream flow,,2 1 0 Grazing natural vegetation,,2 1 0 Grazing natural vegetation,,,2007190342001,PIT TRENCH SAMPLE,0,0.1,1,7.5,2007190342002,PIT TRENCH SAMPLE,0.3,0.6,1,8
field,2007190343,,TS0865,-12.555,143.159,15,14.08.2008,08:00,QLD,Cape Weymouth,alluvial terrace,over bank stream flow,over bank stream flow,1 0 0 Conservation and Natural Environments,,,,Camping area and fishing spot in an area of natural vegetation ,2007190343001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190343002,AUGER SAMPLE,0.6,0.8,1,6
field,2007190344,,TS1013,-23.034,141.738,128,01.04.2008,14:55,QLD,Brighton Downs,flood plain,channelled stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle & 5 2 3 Sheep,nil,2007190344001,PIT TRENCH SAMPLE,0,0.1,1,8,2007190344002,AUGER SAMPLE,0.59,0.7,1,7.5
field,2007190345,,TS0635,-11.298,132.304,10,10.08.2009,11:00,NT,Cobourg Peninsula,alluvial plain,water,,2 1 0 Grazing natural vegetation,,,,,2007190345001,PIT TRENCH SAMPLE,0,0.1,1,4.5,2007190345002,AUGER SAMPLE,0.6,0.7,1,5.5
field,2007190346,,TS1197,-30.077,147.562,154,15.04.2008,09:10,NSW,Walgett,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 3 Sheep,2 1 0 Grazing natural vegetation,5 2 3 Sheep,clean site  adjacent to bridge 80m away  no wire rubbish  sheep skeletons nearby 5m,2007190346001,PIT TRENCH SAMPLE,0,0.1,1,8,2007190346002,AUGER SAMPLE,0.48,0.67,1,9
field,2007190347,,TS0786,-21.063,137.979,189,19.05.2008,08:30,NT,Sandover River,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,,,,None,2007190347001,PIT TRENCH SAMPLE,0,0.1,1,5.5,2007190347002,AUGER SAMPLE,0.6,0.8,1,6
field,2007190348,,TS0913,-17.593,143.186,171,05.10.2007,08:45,QLD,Red River,alluvial plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,,,2007190348001,PIT TRENCH SAMPLE,0,0.1,1,5,2007190348002,AUGER SAMPLE,0.6,0.82,1,4.5
field,2007190349,2007191436,TS0282,-20.857,120.689,152,07.06.2008,13:50,WA,Yarrie,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190349001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190349002,AUGER SAMPLE,0.6,0.8,1,7.5
field,2007190350,,TS0119,-37.081,140.794,55,13.05.2008,15:30,SA,Penola,drainage depression,sheet flow sheet or surface wash,,2 1 0 Grazing natural vegetation,5 2 3 Sheep,2 1 0 Grazing natural vegetation,5 2 3 Sheep,Fences nearby,2007190350001,PIT TRENCH SAMPLE,0.05,0.15,1,5.5,2007190350002,AUGER SAMPLE,0.7,0.9,1,6
field,2007190352,2007190611,TS1327,-38.698,145.881,15,14.04.2008,16:00,VIC,Warragul Special,flood plain,over bank stream flow,,3 2 0 Dryland Grazing modified pastures,,2 1 0 Grazing natural vegetation,,Cow manure if field  dam recently dug 500m ,2007190352001,PIT TRENCH SAMPLE,0,0.1,1,4.5,2007190352002,AUGER SAMPLE,0.52,0.95,1,4.5
field,2007190354,,TS0249,-19.449,121.582,22,11.06.2008,15:20,WA,Munro,flood plain,channelled stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190354001,PIT TRENCH SAMPLE,0,0.1,1,8,2007190354002,AUGER SAMPLE,0.6,0.8,1,8
field,2007190355,2007191257,TS0437,-28.693,120.942,365,03.03.2008,10:40,WA,Leonora,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190355001,PIT TRENCH SAMPLE,0,0.1,1,8.5,2007190355002,AUGER SAMPLE,0.6,0.8,1,8
field,2007190357,2007190856,TS0684,-15.045,135.21,11,16.07.2008,11:40,NT,Mount Young,alluvial terrace,over bank stream flow,,1 0 0 Conservation and Natural Environments,,,,None,2007190357001,PIT TRENCH SAMPLE,0,0.1,1,5.5,2007190357002,AUGER SAMPLE,0.6,0.8,1,5.5
field,2007190358,,TS1278,-33.86,150.349,121,27.06.2008,09:55,NSW,Sydney,alluvial terrace,over bank stream flow,,1 0 0 Conservation and Natural Environments,,1 0 0 Conservation and Natural Environments,,v clean site  at opening of small creek entering Lake  no wire rubbish  animal tracks,2007190358001,PIT TRENCH SAMPLE,0,0.1,1,4.5,2007190358002,PIT TRENCH SAMPLE,0.71,0.85,1,4.5
field,2007190359,,TS0647,-12.91,131.668,23,18.09.2007,15:45,NT,Darwin,alluvial plain,over bank stream flow,,2 1 0 Grazing natural vegetation,,2 1 0 Grazing natural vegetation,,fence 20 m E,2007190359001,PIT TRENCH SAMPLE,0,0.1,1,4,2007190359002,AUGER SAMPLE,0.6,0.82,1,4.5
field,2007190361,2007191094,TS0582,-32.167,125.361,111,25.01.2008,11:00,WA,Culver,peneplain,sheet flow sheet or surface wash,,2 1 0 Grazing natural vegetation,5 2 3 Sheep,2 1 0 Grazing natural vegetation,5 2 3 Sheep,,2007190361001,PIT TRENCH SAMPLE,0,0.1,1,8.5,2007190361002,AUGER SAMPLE,0.6,0.9,1,9
field,2007190363,,TS0814,-23.496,129.036,402,03.04.2009,13:00,NT,MT Rennie,stagnant alluvial plain,detrital deposition still water,dust deposition wind,1 0 0 Conservation and Natural Environments,,,,,2007190363001,PIT TRENCH SAMPLE,0,0.1,1,5.5,2007190363002,AUGER SAMPLE,0.7,0.75,1,4.5
field,2007190364,,TS1287,-34.17,142.994,62,19.02.2008,09:30,NSW,Balranald,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 3 Sheep,2 1 0 Grazing natural vegetation,5 2 3 Sheep,derelict shack tin and tank 300m away  clean site,2007190364001,PIT TRENCH SAMPLE,0,0.1,1,10,2007190364002,AUGER SAMPLE,0.51,0.81,1,10
field,2007190366,,TS1218,-31.062,152.801,46,15.05.2008,08:08,NSW,Hastings,flood plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,Site clean  alongside Macleay River,2007190366001,PIT TRENCH SAMPLE,0,0.1,1,6,2007190366002,AUGER SAMPLE,0.54,0.84,1,6
field,2007190367,,TS0916,-17.947,140.181,4,20.09.2007,13:15,QLD,Burketown,alluvial plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190367001,PIT TRENCH SAMPLE,0,0.1,1,7,2007190367002,AUGER SAMPLE,0.64,0.81,1,6.5
field,2007190368,,TS1253,-33.02,149.281,420,03.09.2007,15:30,NSW,Bathurst,alluvial plain,over bank stream flow,,1 0 0 Conservation and Natural Environments,,3 2 0 Dryland Grazing modified pastures,,camping & 4WD track  shooting,2007190368001,PIT TRENCH SAMPLE,0,0.1,1,5.5,2007190368002,PIT TRENCH SAMPLE,0.45,0.5,1,8.5
field,2007190369,,TS0735,-17.982,137.968,95,20.05.2008,11:00,NT,Calvert Hills,alluvial terrace,over bank stream flow,,1 0 0 Conservation and Natural Environments,,,,Nudjabarra settlement 400 m N,2007190369001,PIT TRENCH SAMPLE,0,0.1,1,5.5,2007190369002,AUGER SAMPLE,0.6,0.9,1,5.5
field,2007190370,,TS0277,-20.705,118.293,40,05.04.2008,09:03,WA,Roebourne,alluvial plain,channelled stream flow,over bank stream flow,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,Side wall contamination from power auger  difficult to drill and hand auger wouldn't remove material,2007190370001,PIT TRENCH SAMPLE,0,0.1,1,7.5,2007190370002,AUGER SAMPLE,0.5,0.8,1,7
field,2007190372,,TS1288,-34.207,144.625,88,23.01.2008,16:44,NSW,Hay,flood plain,over bank stream flow,,1 0 0 Conservation and Natural Environments,,1 0 0 Conservation and Natural Environments,,quite a clean site  some very minor small scrap pieces of iron about ,2007190372001,PIT TRENCH SAMPLE,0,0.1,1,8,2007190372002,AUGER SAMPLE,0.44,0.78,1,9
field,2007190373,,TS0800,-22.283,137.936,168,15.05.2008,10:00,NT,Tobermorey,alluvial terrace,over bank stream flow,,2 1 0 Grazing natural vegetation,,,,None,2007190373001,PIT TRENCH SAMPLE,0,0.1,1,5.5,2007190373002,AUGER SAMPLE,0.6,0.8,1,5.5
field,2007190374,,TS0892,-16.485,141.792,14,25.09.2007,13:15,QLD,Galbraith,anastomatic plain,channelled stream flow,,2 1 0 Grazing natural vegetation,5 2 2 Cattle,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,2007190374001,PIT TRENCH SAMPLE,0,0.1,1,5,2007190374002,AUGER SAMPLE,0.54,0.78,1,5.5
field,2007190375,,TS0450,-28.894,116.386,273,17.11.2007,16:00,WA,Yalgoo,playa plain,sheet flow sheet or surface wash,sand deposition wind,2 1 0 Grazing natural vegetation,,2 1 0 Grazing natural vegetation,,80 m from fencelines in both directions,2007190375001,PIT TRENCH SAMPLE,0,0.1,1,7.5,2007190375002,AUGER SAMPLE,0.6,0.9,1,10
field,2007190377,,TS0690,-15.359,130.288,2,09.07.2008,13:10,NT,Auvergne,alluvial plain,over bank stream flow,,1 0 0 Conservation and Natural Environments,,,,None,2007190377001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190377002,AUGER SAMPLE,0.6,0.8,1,6
field,2007190378,,TS1293,-34.87,143.87,78,20.12.2007,14:53,NSW,Balranald,alluvial plain,channelled stream flow,,3 3 0 Dryland Cropping,5 2 3 Sheep,3 3 0 Dryland Cropping,5 2 3 Sheep,Some old wire and metal rubbish near site otherwise clean,2007190378001,PIT TRENCH SAMPLE,0,0.1,1,8.5,2007190378002,AUGER SAMPLE,0.51,0.66,1,9
field,2007190379,,TS0849,-25.395,132.55,453,17.04.2008,14:55,NT,Kulgera,aeolian landforms,wind,water,2 1 0 Grazing natural vegetation,5 2 2 Cattle,,,None,2007190379001,PIT TRENCH SAMPLE,0,0.1,1,6.5,2007190379002,AUGER SAMPLE,0.6,0.95,1,6.5
field,2007190381,,TS1387,-42.78,147.088,5,04.02.2008,12:25,TAS,South East,alluvial plain,over bank stream flow,,2 1 0 Grazing natural vegetation,5 2 3 Sheep,2 1 0 Grazing natural vegetation,,Cleared for pine plantation,2007190381001,PIT TRENCH SAMPLE,0,0.1,1,4.5,2007190381002,AUGER SAMPLE,0.58,0.75,1,5
field,2007190382,,TS0990,-21.949,138.458,175,08.04.2008,14:14,QLD,Urandangi,alluvial plain,over bank stream flow,,2 1 0 Grazing natural vegetation,,2 1 0 Grazing natural vegetation,,,2007190382001,PIT TRENCH SAMPLE,0,0.1,1,8.5,2007190382002,AUGER SAMPLE,0.6,0.7,1,8.5
field,2007190383,2007191416,TS1009,-22.401,145.129,224,01.04.2008,11:30,QLD,Muttaburra,alluvial plain,over bank stream flow,channelled stream flow,2 1 0 Grazing natural vegetation,,2 1 0 Grazing natural vegetation,,,2007190383001,PIT TRENCH SAMPLE,0,0.1,1,7,2007190383002,AUGER SAMPLE,0.7,0.85,1,6.5
